Date,Adj Close,SMA 10,SMA 25,SMA 100,WMA10,EMA10
2016-12-20,800.8759765625,784.9799011230468,768.9351611328125,687.8920416259766,789.102,786.215
2016-12-21,834.281005859375,791.4348999023438,772.8911206054687,690.152421875,798.066,794.954
2016-12-22,864.5399780273438,799.8802001953125,778.1913208007812,692.7054113769532,811.358,807.606
2016-12-23,921.9840087890624,814.022998046875,785.6381616210938,695.8184112548828,833.558,828.402
2016-12-24,898.822021484375,825.7570983886719,792.1668823242187,698.7350811767578,848.976,841.206
2016-12-25,896.1829833984375,837.5665954589844,798.1865625,701.6271807861328,861.781,851.202
2016-12-26,907.6099853515624,849.8368957519531,804.2200024414062,704.6434405517579,874.516,861.458
2016-12-27,933.197998046875,864.0737976074219,810.4301635742188,707.8766802978515,889.673,874.501
2016-12-28,975.9210205078124,882.6128967285156,818.6208032226563,711.5436206054687,910.009,892.941
2016-12-29,973.4970092773438,900.6911987304687,826.6058032226563,715.1954705810547,926.533,907.588
2016-12-30,961.2379760742188,916.7273986816406,834.7073217773437,718.8363604736328,937.542,917.342
2016-12-31,963.7429809570312,929.6735961914062,842.6880810546875,722.510810546875,946.09,925.779
2017-01-01,998.3250122070312,943.052099609375,851.89580078125,726.4656408691407,958.572,938.969
2017-01-02,1021.75,953.0286987304687,861.9334008789062,730.6568908691406,972.881,954.02
